CategoryID,Categories
2000001,Snacks
2000002,Soups
2000003,Desserts
2000004,Main Courses
2000005,Breads
2000006,Salads
2000007,Appetizers
2000008,Poultry
2000009,Sauces
2000010,Seafood
2000011,Beverages
2000012,Pork
2000013,Beef
2000014,Lamb
2000015,Vegetarian
2000016,Pasta
2000017,Vegan
