CategoryID,Categories
C1001,Snacks
C1002,Soups
C1003,Desserts
C1004,Main Courses
C1005,Breads
C1006,Salads
C1007,Appetizers
C1008,Poultry
C1009,Sauces
C1010,Seafood
C1011,Beverages
C1012,Pork
C1013,Beef
C1014,Lamb
C1015,Vegetarian
C1016,Pasta
C1017,Vegan
